"participant","condsFile","order","trial","nTrip","totalListTime","meanListTime","totalShelfTime","meanShelfTime","totalTime","totalCorrect","meanCorrect","meanCorBefInc","totalInCorrect","meanIncorrect","maxCorrect","maxIncorrect","totalClickeds","meanclickeds","meanMU","datetime","Gender","Parent_reported_age","Grade","Ethnicity","Race","screen_use_days","screen_use_hour","screen_purpose","colorblindness","screen_age_started","intervention","languages","birthday.x","birthday.y","age","date","months","days","agebin"
2,"longDelay","D",1,2,10.7915691398084,5.39578456990421,41.9883519262075,20.9941759631038,52.779921066016,6,3,2.5,2,1,4,2,8,4,2,"12/15/2023 12:23:27","Male",4,"Pre-K / preschool / nursery school","Not Hispanic or Latino","Asian","3-4 days","0-1 hour","playing games, reading books, watching videos","No","2","No","No","1/17/2019","1/17/19",4.8,"12/15/23",58,29,"54.0-64.0"
2,"longDelay","D",2,2,9.57511864043772,4.78755932021886,52.7424055431038,26.3712027715519,62.3175241835415,6,3,1.5,11,5.5,4,8,17,8.5,-2.5,"12/15/2023 12:23:27","Male",4,"Pre-K / preschool / nursery school","Not Hispanic or Latino","Asian","3-4 days","0-1 hour","playing games, reading books, watching videos","No","2","No","No","1/17/2019","1/17/19",4.8,"12/15/23",58,29,"54.0-64.0"
2,"longDelay","D",3,3,16.1344094015658,5.3781364671886,23.4850520081818,7.82835066939394,39.6194614097476,6,2,2,0,0,3,0,6,2,2,"12/15/2023 12:23:27","Male",4,"Pre-K / preschool / nursery school","Not Hispanic or Latino","Asian","3-4 days","0-1 hour","playing games, reading books, watching videos","No","2","No","No","1/17/2019","1/17/19",4.8,"12/15/23",58,29,"54.0-64.0"
2,"longDelayClosing","D",1,1,3.8011412769556,3.8011412769556,25.6241189409047,25.6241189409047,29.4252602178603,4,4,1,6,6,4,6,10,10,-2,"12/15/2023 12:23:27","Male",4,"Pre-K / preschool / nursery school","Not Hispanic or Latino","Asian","3-4 days","0-1 hour","playing games, reading books, watching videos","No","2","No","No","1/17/2019","1/17/19",4.8,"12/15/23",58,29,"54.0-64.0"
2,"noDelay","D",1,3,17.3621992878616,5.78739976262053,40.1033975053579,13.3677991684526,57.4655967932194,6,2,2,1,0.333333333333333,2,1,7,2.33333333333333,1.66666666666667,"12/15/2023 12:23:27","Male",4,"Pre-K / preschool / nursery school","Not Hispanic or Latino","Asian","3-4 days","0-1 hour","playing games, reading books, watching videos","No","2","No","No","1/17/2019","1/17/19",4.8,"12/15/23",58,29,"54.0-64.0"
2,"noDelay","D",2,5,21.9618951100856,4.39237902201712,49.9277025070041,9.98554050140083,71.8895976170897,7,1.4,1.2,6,1.2,2,6,13,2.6,0.2,"12/15/2023 12:23:27","Male",4,"Pre-K / preschool / nursery school","Not Hispanic or Latino","Asian","3-4 days","0-1 hour","playing games, reading books, watching videos","No","2","No","No","1/17/2019","1/17/19",4.8,"12/15/23",58,29,"54.0-64.0"
2,"noDelay","D",3,4,23.6236156262457,5.90590390656143,53.264119386673,13.3160298466682,76.8877350129187,6,1.5,1.25,8,2,3,6,14,3.5,-0.5,"12/15/2023 12:23:27","Male",4,"Pre-K / preschool / nursery school","Not Hispanic or Latino","Asian","3-4 days","0-1 hour","playing games, reading books, watching videos","No","2","No","No","1/17/2019","1/17/19",4.8,"12/15/23",58,29,"54.0-64.0"
2,"noDelayClosing","D",1,1,2.45958836190403,2.45958836190403,15.3214207421988,15.3214207421988,17.7810091041028,5,5,2,5,5,5,5,10,10,0,"12/15/2023 12:23:27","Male",4,"Pre-K / preschool / nursery school","Not Hispanic or Latino","Asian","3-4 days","0-1 hour","playing games, reading books, watching videos","No","2","No","No","1/17/2019","1/17/19",4.8,"12/15/23",58,29,"54.0-64.0"
2,"oneShot3.2","D",1,1,2.83262305893004,2.83262305893004,18.0438031423837,18.0438031423837,20.8764262013137,6,6,0,4,4,6,4,10,10,2,"12/15/2023 12:23:27","Male",4,"Pre-K / preschool / nursery school","Not Hispanic or Latino","Asian","3-4 days","0-1 hour","playing games, reading books, watching videos","No","2","No","No","1/17/2019","1/17/19",4.8,"12/15/23",58,29,"54.0-64.0"
2,"oneShot3.2","D",2,1,2.99806906096637,2.99806906096637,11.9970554616302,11.9970554616302,14.9951245225966,4,4,1,2,2,4,2,6,6,2,"12/15/2023 12:23:27","Male",4,"Pre-K / preschool / nursery school","Not Hispanic or Latino","Asian","3-4 days","0-1 hour","playing games, reading books, watching videos","No","2","No","No","1/17/2019","1/17/19",4.8,"12/15/23",58,29,"54.0-64.0"
