"participant","condsFile","order","trial","nTrip","totalListTime","meanListTime","totalShelfTime","meanShelfTime","totalTime","totalCorrect","meanCorrect","meanCorBefInc","totalInCorrect","meanIncorrect","maxCorrect","maxIncorrect","totalClickeds","meanclickeds","meanMU","Timestamp","What.is.your.child.s.gender.","What.is.your.child.s.age.","Please.enter.your.child.s.birth.date.","Caregiver.1..What.is.the.highest.level.of.education.","Caregiver.2..What.is.the.highest.level.of.education.","Is.your.child.currently.going.to.school..If.yes..what.grade...In.the.summer..What.grade.has.your.child.just.completed..","Which.group.below.most.accurately.describes.your.child.s.ethnic.background.","Which.group.help.most.accurately.describes.your.child.s.racial.background.","How.many.days.per.week.does.your.child.spend.using.a.touchscreen.device...e.g..iPad..tablet..smartphone.","On.these.days..how.many.hours.does.your.child.typically.spend.using.the.touchscreen.device.","Which.types.of.activities.does.your.child.usually.engage.in.on.the.touchscreen.device.","Does.your.child.have.colorblindness.","At.what.age.did.your.child.first.begin.to.play.with.a.touchscreen.device.","Have.you.ever.had.any.developmental.concerns.or.have.you.ever.been.referred.to.early.intervention..If.yes..what.it.is.","Does.your.child.hear.any.other.language.other.than.English.on.a.daily.basis..If.yes..which.."
"10","longDelay","D",1,5,35.6161102499973,7.12322204999946,142.312152849992,28.4624305699985,177.92826309999,6,1.2,1.2,1,0.2,2,1,7,1.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","longDelay","D",2,3,18.1812031499994,6.06040104999981,54.1483623499935,18.0494541166645,72.3295654999929,6,2,2,0,0,3,0,6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","longDelay","D",3,3,22.5935390500017,7.5311796833339,62.6356420999982,20.8785473666661,85.2291811499999,7,2.33333333333333,2.33333333333333,0,0,3,0,7,2.33333333333333,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","longDelay","D",4,1,5.37854464999873,5.37854464999873,139.143195699999,139.143195699999,144.521740349997,7,7,3,3,3,7,3,10,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","noDelay","D",1,3,23.2440310499987,7.74801034999958,45.1469281499958,15.0489760499986,68.3909591999945,6,2,2,0,0,3,0,6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","noDelay","D",2,4,20.3214213499941,5.08035533749853,53.3016074499883,13.3254018624971,73.6230287999824,7,1.75,1.75,0,0,2,0,7,1.75,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","noDelay","D",3,4,17.9768357999892,4.4942089499973,48.6337140499963,12.1584285124991,66.6105498499855,7,1.75,1.75,0,0,2,0,7,1.75,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","noDelay","D",4,1,7.6286350499995,7.6286350499995,108.950043449997,108.950043449997,116.578678499996,8,8,6,2,2,8,2,10,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","longDelay","B",1,6,22.5075175800048,3.7512529300008,33.6830171000111,5.61383618333518,56.1905346800158,7,1.16666666666667,1.16666666666667,0,0,2,0,7,1.16666666666667,1.16666666666667,"11/11/2024 11:31:56","Male",6,"7/2/2018","Master's degree","College degree","First grade","Not Hispanic or Latino","White","5-6 days","0-1 hour","playing games, reading books, watching videos","No","5","No","No"
"11","longDelay","B",2,3,12.275007080003,4.09166902666766,28.4775516800037,9.49251722666789,40.7525587600067,6,2,2,0,0,3,0,6,2,2,"11/11/2024 11:31:56","Male",6,"7/2/2018","Master's degree","College degree","First grade","Not Hispanic or Latino","White","5-6 days","0-1 hour","playing games, reading books, watching videos","No","5","No","No"
"11","longDelay","B",3,3,17.8357628799986,5.94525429333286,35.7869282800057,11.9289760933352,53.6226911600043,6,2,2,0,0,3,0,6,2,2,"11/11/2024 11:31:56","Male",6,"7/2/2018","Master's degree","College degree","First grade","Not Hispanic or Latino","White","5-6 days","0-1 hour","playing games, reading books, watching videos","No","5","No","No"
"11","longDelay","B",4,1,4.57163849999961,4.57163849999961,39.9521102600011,39.9521102600011,44.5237487600007,6,6,3,4,4,6,4,10,10,2,"11/11/2024 11:31:56","Male",6,"7/2/2018","Master's degree","College degree","First grade","Not Hispanic or Latino","White","5-6 days","0-1 hour","playing games, reading books, watching videos","No","5","No","No"
"11","noDelay","B",1,6,17.7473349600041,2.95788916000068,27.2046784400027,4.53411307333378,44.9520134000068,6,1,1,1,0.166666666666667,2,1,7,1.16666666666667,0.833333333333333,"11/11/2024 11:31:56","Male",6,"7/2/2018","Master's degree","College degree","First grade","Not Hispanic or Latino","White","5-6 days","0-1 hour","playing games, reading books, watching videos","No","5","No","No"
