"participant","condsFile","order","trial","nTrip","totalListTime","meanListTime","totalShelfTime","meanShelfTime","totalTime","totalCorrect","meanCorrect","meanCorBefInc","totalInCorrect","meanIncorrect","maxCorrect","maxIncorrect","totalClickeds","meanclickeds","meanMU","Timestamp","What.is.your.child.s.gender.","What.is.your.child.s.age.","Please.enter.your.child.s.birth.date.","Caregiver.1..What.is.the.highest.level.of.education.","Caregiver.2..What.is.the.highest.level.of.education.","Is.your.child.currently.going.to.school..If.yes..what.grade...In.the.summer..What.grade.has.your.child.just.completed..","Which.group.below.most.accurately.describes.your.child.s.ethnic.background.","Which.group.help.most.accurately.describes.your.child.s.racial.background.","How.many.days.per.week.does.your.child.spend.using.a.touchscreen.device...e.g..iPad..tablet..smartphone.","On.these.days..how.many.hours.does.your.child.typically.spend.using.the.touchscreen.device.","Which.types.of.activities.does.your.child.usually.engage.in.on.the.touchscreen.device.","Does.your.child.have.colorblindness.","At.what.age.did.your.child.first.begin.to.play.with.a.touchscreen.device.","Have.you.ever.had.any.developmental.concerns.or.have.you.ever.been.referred.to.early.intervention..If.yes..what.it.is.","Does.your.child.hear.any.other.language.other.than.English.on.a.daily.basis..If.yes..which.."
"10","longDelay","D",1,1,6.28028545000052,6.28028545000052,28.1152340499975,28.1152340499975,34.395519499998,0,0,0,1,1,0,1,1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","longDelay","D",2,1,7.72308394999891,7.72308394999891,23.2257215499976,23.2257215499976,30.9488054999965,3,3,3,0,0,3,0,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","longDelay","D",3,1,8.58226205000028,8.58226205000028,19.2427920999999,19.2427920999999,27.8250541500001,2,2,2,0,0,2,0,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","longDelay","D",4,1,5.37854464999873,5.37854464999873,139.143195699999,139.143195699999,144.521740349997,7,7,3,3,3,7,3,10,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","noDelay","D",1,1,11.4691090000015,11.4691090000015,17.4810725999996,17.4810725999996,28.9501816000011,2,2,2,0,0,2,0,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","noDelay","D",2,1,6.76944605000062,6.76944605000062,17.6082746499978,17.6082746499978,24.3777206999985,2,2,2,0,0,2,0,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","noDelay","D",3,1,5.32094764999965,5.32094764999965,17.0642623999993,17.0642623999993,22.3852100499989,2,2,2,0,0,2,0,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","noDelay","D",4,1,7.6286350499995,7.6286350499995,108.950043449997,108.950043449997,116.578678499996,8,8,6,2,2,8,2,10,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","longDelay","B",1,1,5.08011408000129,5.08011408000129,3.31296982000094,3.31296982000094,8.39308390000224,1,1,1,0,0,1,0,1,1,1,"11/11/2024 11:31:56","Male",6,"7/2/2018","Master's degree","College degree","First grade","Not Hispanic or Latino","White","5-6 days","0-1 hour","playing games, reading books, watching videos","No","5","No","No"
"11","longDelay","B",2,1,4.57427018000089,4.57427018000089,4.21996412000044,4.21996412000044,8.79423430000134,1,1,1,0,0,1,0,1,1,1,"11/11/2024 11:31:56","Male",6,"7/2/2018","Master's degree","College degree","First grade","Not Hispanic or Latino","White","5-6 days","0-1 hour","playing games, reading books, watching videos","No","5","No","No"
"11","longDelay","B",3,1,7.76322817999971,7.76322817999971,12.3039042400032,12.3039042400032,20.067132420003,2,2,2,0,0,2,0,2,2,2,"11/11/2024 11:31:56","Male",6,"7/2/2018","Master's degree","College degree","First grade","Not Hispanic or Latino","White","5-6 days","0-1 hour","playing games, reading books, watching videos","No","5","No","No"
"11","longDelay","B",4,1,4.57163849999961,4.57163849999961,39.9521102600011,39.9521102600011,44.5237487600007,6,6,3,4,4,6,4,10,10,2,"11/11/2024 11:31:56","Male",6,"7/2/2018","Master's degree","College degree","First grade","Not Hispanic or Latino","White","5-6 days","0-1 hour","playing games, reading books, watching videos","No","5","No","No"
"11","noDelay","B",1,1,4.26568100000077,4.26568100000077,2.29822301999957,2.29822301999957,6.56390402000034,1,1,1,0,0,1,0,1,1,1,"11/11/2024 11:31:56","Male",6,"7/2/2018","Master's degree","College degree","First grade","Not Hispanic or Latino","White","5-6 days","0-1 hour","playing games, reading books, watching videos","No","5","No","No"
"11","noDelay","B",2,1,1.83235511999919,1.83235511999919,2.76012704000095,2.76012704000095,4.59248216000015,1,1,1,0,0,1,0,1,1,1,"11/11/2024 11:31:56","Male",6,"7/2/2018","Master's degree","College degree","First grade","Not Hispanic or Latino","White","5-6 days","0-1 hour","playing games, reading books, watching videos","No","5","No","No"
"11","noDelay","B",3,1,9.22561518000111,9.22561518000111,9.04341642000145,9.04341642000145,18.2690316000026,2,2,2,0,0,2,0,2,2,2,"11/11/2024 11:31:56","Male",6,"7/2/2018","Master's degree","College degree","First grade","Not Hispanic or Latino","White","5-6 days","0-1 hour","playing games, reading books, watching videos","No","5","No","No"
"11","noDelay","B",4,1,1.34833758000241,1.34833758000241,35.4061926600007,35.4061926600007,36.7545302400031,5,5,1,5,5,5,5,10,10,0,"11/11/2024 11:31:56","Male",6,"7/2/2018","Master's degree","College degree","First grade","Not Hispanic or Latino","White","5-6 days","0-1 hour","playing games, reading books, watching videos","No","5","No","No"
"13","longDelay","D",1,1,5.7910439999996,5.7910439999996,4.10013009999966,4.10013009999966,9.89117409999926,0,0,0,1,1,0,1,1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","longDelay","D",2,1,2.9423525000002,2.9423525000002,7.1262123000015,7.1262123000015,10.0685648000017,1,1,1,0,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","longDelay","D",3,1,2.658175999999,2.658175999999,4.35209440000108,4.35209440000108,7.01027040000008,2,2,2,0,0,2,0,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","longDelay","D",4,1,2.57030590000068,2.57030590000068,27.7088630000035,27.7088630000035,30.2791689000042,4,4,3,6,6,4,6,10,10,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","noDelay","D",1,1,2.12799129999803,2.12799129999803,7.2687502000008,7.2687502000008,9.39674149999883,2,2,2,0,0,2,0,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","noDelay","D",2,1,1.70299030000206,1.70299030000206,3.78974440000275,3.78974440000275,5.4927347000048,1,1,1,0,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","noDelay","D",3,1,2.08411680000063,2.08411680000063,2.06263030000264,2.06263030000264,4.14674710000327,1,1,1,0,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","noDelay","D",4,1,6.97456640000019,6.97456640000019,20.6872144000008,20.6872144000008,27.661780800001,6,6,1,4,4,6,4,10,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
