participant,easy,again,strategy
1,No delay,No delay,
2,No delay,No delay,
4,No delay,Long delay,
5,No delay,NA,
6,Long delay,Long delay,
7,No delay,No delay,
9,No delay,No delay,
10,No delay,Long delay,
11,No delay,No delay,
12,No delay,NA,
13,No delay,Long delay,
14,Long delay,Long delay,
16,No delay,No delay,
17,No delay,Long delay,"No delay - ""The grown-up is already there, easier"""
19,No delay,No delay,Long delay - the grown-up had to walk more
20,Long delay,No delay,"""I got a lot wrong in the small store"""
21,No delay,No delay,"Long delay - ""Started to click and guess"""
25,No delay,No delay,"""I don't know"""
26,Long delay,Long delay,"Long-delay - ""I tried to do them all because I didn't know for sure"""
28,No delay,No delay,"No delay - ""I used the list more times"""
34,No delay,No delay,"""I don't know""/Didn't respond, so I say: ""It's okay if you don't know"" and then he nodded"
35,Long delay,Long delay,"Said ""yes"" that she did something different to try to remember, but said she didn't know what it was that she did"
36,Both,NA,"Long delay; ""I thought better than I usually think"""
37,Long delay,No delay,"""I don't know"""
38,No delay,No delay,"""I don't know"""
39,No delay,Long delay,"""Yes"" - No explanation"
40,Long delay,Long delay,"Long delay: ""I picked stuff I didn't need"""
41,No delay,No delay,"""I said the names out loud""/Didn't specify in which store he did this in"
42,No delay,No delay,"Long delay; ""I remembered 4 things"""
43,No delay,No delay,"""Yes""; ""I don't know"""
44,Long delay,Long delay,"Long delay; ""I go in bigger store"""
45,No delay,No delay,"""No"""
46,No delay,Long delay,"""Yes""; ""I was pressing all of the shelves"""
47,No delay,No delay,"""I don't know"""
48,No delay,No delay,"""No"""
49,No delay,No delay,"""No"""
50,No delay,No delay,"Closing trials: ""I really tried to remember"""
51,No delay,No delay,"No delay; ""I love it"""
52,No delay,No delay,No answer
53,No delay,No delay,"""No"""
54,No delay,No delay,"No delay; ""I went row by row and said them out loud"""
55,No delay,Long delay,"""No"""
56,No delay,No delay,"""No"""
57,No delay,Long delay,"""No"""
58,No delay,No delay,"Long delay; ""Couldn't check the list as easy"""
59,Long delay,Long delay,"""No"""
60,Long delay,Long delay,"""No"""
61,No delay,No delay,"Long delay; ""Went down the list and not side to side and got 4 in a row"""
62,Both,No delay,"""No"""
63,No delay,No delay,"""No"""
64,No delay,No delay,"""No"""
65,Long delay,Long delay,"Long delay; ""It was bigger so I took longer"""
66,Long delay,Long delay,"Long delay; ""I looked at the list longer"""
67,Long delay,NA,"""I don't know"""
68,No delay,Long delay,"""No"""
71,No delay,Long delay,"No delay; ""I looked at list more"""
72,No delay,No delay,"No delay; ""I remember them in my head, then I take the items and put them on my fingers"""
73,Long delay,No delay,"""No"""
75,No delay,Long delay,"Long delay; ""I don't know"""
76,No delay,No delay,"""No"""
77,No delay,Long delay,"""I don't know"""
78,No delay,Long delay,"""Yes"";""I went shopping"" (seemed confused by question)"
79,No delay,No delay,"""I said the names out loud""/Didn't specify in which store he did this in"
80,No delay,No delay,"""I don't know"""
82,No delay,No delay,"Something about ""I tried to think by adding"""
83,No delay,No delay,"Long delay; ""Some were different"""
84,No delay,Long delay,"No delay; ""I tried to remember foods different"""
85,Long delay,Long delay,"""No"""
86,No delay,No delay,"""Not really"""
87,Long delay,Long delay,"""No"""
88,No delay,No delay,"No delay; ""Sometimes I forgot, sometimes I remembered"""
90,No delay,No delay,"Long delay; ""I remembered 3 at a time"""
92,No delay,Long delay,"Long delay; ""It's big"""
93,No delay,No delay,"No delay; ""I don't know"""
94,No delay,No delay,"""No"""
95,No delay,No delay,"""No"""
96,No delay,No delay,No
97,No delay,No delay,"""Remembered more in long delay"""
98,No delay,No delay,"""No"""
99,No delay,Long delay,"Long delay; ""I had the strategy to do row by row"""
100,Long delay,Long delay,"""I don't know"""
101,No delay,No delay,"No delay; ""I looked at the list diagonally"""
103,Long delay,Long delay,"""No"""
105,No delay,No delay,"Long delay; ""I did one row at a time"""
106,No delay,No delay,"""No"""
107,No delay,Long delay,"Long delay; ""I tried to tap more items"""
108,No delay,Long delay,"""In the big store, I went across, and in the small store, I went up"" (on the list when choosing items to remember)"
109,No delay,Long delay,"""I don't know"""
