Participant,Harder_clean,Closing_harder_clean,Guess_clean
3,LD,Harder,NA
4,LD,Harder,NA
5,LD,Harder,NA
6,LD,NA,Guess
7,ND,NA,Guess
8,LD,NA,Guess
9,LD,NA,Guess
10,LD,NA,Guess
11,LD,NA,Guess
13,ND,NA,Remembered
14,LD,NA,Guess
15,LD,NA,Guess
16,LD,Same,Guess
17,ND,Same,Remembered
18,LD,Harder,Guess
20,LD,Harder,Guess
22,LD,Harder,Guess
23,LD,Same,Guess
24,LD,Harder,Remembered
25,LD,Harder,Remembered
26,LD,Harder,Remembered
27,LD,Harder,Guess
28,LD,Harder,Guess
29,LD,Harder,Remembered
31,LD,Same,Guess
32,LD,Harder,Guess
33,LD,Harder,Guess
34,LD,Harder,Guess
35,LD,Harder,Guess
36,ND,Harder,Guess
37,LD,Same,Guess
38,LD,Harder,Guess
39,LD,Harder,Guess
40,ND,Harder,Guess
41,ND,Harder,Guess
42,ND,Harder,Guess
43,LD,Same,Guess
44,LD,Harder,Guess
46,LD,Harder,Guess
47,LD,Harder,Guess
48,LD,Same,Remembered
49,ND,Harder,Remembered
50,LD,Same,Remembered
51,LD,Harder,Guess
52,LD,Harder,Guess
53,LD,Harder,Guess
54,LD,Harder,Guess
55,ND,Harder,Guess
56,LD,Same,Remembered
57,LD,Same,Remembered
58,LD,Harder,Guess
60,LD,Harder,Guess
61,LD,Harder,Guess
63,LD,Harder,Guess
64,LD,Harder,Guess
65,ND,Harder,Guess
66,LD,Same,Remembered
67,LD,Harder,Guess
68,LD,Harder,NA
69,LD,Harder,Guess
71,LD,Harder,Guess
72,ND,Harder,Guess
74,LD,Same,Guess
75,LD,Harder,Guess
76,LD,Harder,Guess
77,LD,Harder,Guess
80,ND,Harder,Guess
81,LD,Same,Guess
82,LD,Harder,Guess
83,LD,Harder,Remembered
84,ND,Harder,Guess
85,LD,Same,Guess
86,ND,Harder,Guess
88,LD,Same,Guess
89,LD,Harder,Guess
