animalImage,imageName,PositionX,PositionY,pair,category
image\image1.jpg,image1,0.11,0.37,A,fruit
image\image2.jpg,image2,0.22,0.37,A,fruit
image\image3.jpg,image3,0.42,0.37,B,fruit
image\image4.jpg,image4,0.53,0.37,B,fruit
image\image17.jpg,image17,0.53,-0.02,C,dessert
image\image16.jpg,image16,0.42,-0.02,C,dessert
image\image18.jpg,image18,0.42,0.11,D,dessert
image\image12.jpg,image12,0.53,0.11,D,dessert
image\image19.jpg,image19,0.53,0.24,E,ing
image\image5.jpg,image5,0.42,0.24,E,ing
image\image11.jpg,image11,0.11,0.24,F,ing
image\image6.jpg,image6,0.22,0.24,F,ing
image\image20.jpg,image20,0.11,-0.02,G,snack
image\image14.jpg,image14,0.22,-0.02,G,snack
image\image15.jpg,image15,0.11,0.11,H,snack
image\image13.jpg,image13,0.22,0.11,H,snack
image\image7.jpg,image7,0.11,-0.15,I,veg
image\image8.jpg,image8,0.22,-0.15,I,veg
image\image10.jpg,image10,0.42,-0.15,J,veg
image\image9.jpg,image9,0.53,-0.15,J,veg
